"parameter_id","group_id"
"IMPC_EYE_024_001",5
"IMPC_EYE_025_001",4
"IMPC_EYE_025_001",5
"IMPC_EYE_026_001",4
"IMPC_EYE_026_001",5
"IMPC_EYE_026_001",7
"IMPC_EYE_027_001",4
"IMPC_EYE_027_001",11
"IMPC_EYE_030_001",11
"IMPC_EYE_031_001",11
"IMPC_EYE_032_001",11
"IMPC_EYE_033_001",11
"IMPC_EYE_034_001",11
"IMPC_EYE_035_001",11
"IMPC_EYE_036_001",11
"IMPC_EYE_037_001",5
"IMPC_EYE_037_001",11
"IMPC_EYE_038_001",5
"IMPC_EYE_038_001",11
"IMPC_EYE_039_001",5
"IMPC_EYE_039_001",11
"IMPC_EYE_040_001",5
"IMPC_EYE_040_001",11
"IMPC_EYE_041_001",5
"IMPC_EYE_041_001",11
"IMPC_EYE_042_001",5
"IMPC_EYE_042_001",11
"IMPC_EYE_043_001",11
"IMPC_EYE_044_001",10
"IMPC_EYE_045_001",10
"IMPC_EYE_046_001",4
"IMPC_EYE_047_001",4
"IMPC_EYE_048_001",4
"IMPC_EYE_048_001",5
"IMPC_EYE_049_001",4
"IMPC_EYE_050_001",2
"IMPC_EYE_051_001",2
"IMPC_EYE_052_001",5
"IMPC_EYE_053_001",5
"IMPC_EYE_054_001",1
"IMPC_EYE_054_001",5
"IMPC_EYE_055_001",1
"IMPC_EYE_055_001",5
"IMPC_EYE_056_001",1
"IMPC_EYE_056_001",5
"IMPC_EYE_057_001",1
"IMPC_EYE_057_001",5
"IMPC_EYE_058_001",1
"IMPC_EYE_058_001",5
"IMPC_EYE_059_001",1
"IMPC_EYE_059_001",5
"IMPC_EYE_060_001",5
"IMPC_EYE_062_001",5
"IMPC_EYE_063_001",5
"IMPC_EYE_063_001",8
"IMPC_EYE_064_001",5
"IMPC_EYE_064_001",8
"IMPC_EYE_066_001",5
"IMPC_EYE_068_001",5
"IMPC_EYE_069_001",5
"IMPC_EYE_069_001",8
"IMPC_EYE_070_001",5
"IMPC_EYE_070_001",8
"IMPC_EYE_072_001",2
"IMPC_EYE_072_001",5
"IMPC_EYE_073_001",2
"IMPC_EYE_073_001",5
"IMPC_EYE_076_001",2
"IMPC_EYE_076_001",5
"IMPC_EYE_077_001",2
"IMPC_EYE_077_001",5
"IMPC_EYE_078_001",5
"IMPC_EYE_079_001",5
"IMPC_EYE_080_001",5
"IMPC_EYE_081_001",5
"IMPC_EYE_082_001",5
"IMPC_EYE_083_001",5
"IMPC_EYE_084_001",5
"IMPC_EYE_085_001",5
"IMPC_EYE_087_001",5
"IMPC_EYE_088_001",5
"IMPC_EYE_089_001",5
"IMPC_EYE_089_001",11
"IMPC_EYE_090_001",5
"IMPC_EYE_091_001",5
"IMPC_EYE_092_001",5
"IMPC_CSD_002_001",1
"IMPC_CSD_002_001",7
"IMPC_CSD_004_001",7
"IMPC_CSD_005_001",5
"IMPC_CSD_006_001",5
"IMPC_CSD_007_001",5
"IMPC_CSD_008_001",5
"IMPC_CSD_008_001",7
"IMPC_CSD_009_001",5
"IMPC_CSD_009_001",7
"IMPC_CSD_010_001",5
"IMPC_CSD_010_001",7
"IMPC_CSD_014_001",8
"IMPC_CSD_015_001",8
"IMPC_CSD_016_001",8
"IMPC_CSD_017_001",7
"IMPC_CSD_018_001",7
"IMPC_CSD_019_001",1
"IMPC_CSD_019_001",7
"IMPC_CSD_020_001",7
"IMPC_CSD_021_001",7
"IMPC_CSD_022_001",1
"IMPC_CSD_022_001",7
"IMPC_CSD_024_001",8
"IMPC_CSD_025_001",1
"IMPC_CSD_025_001",7
"IMPC_CSD_026_001",7
"IMPC_CSD_027_001",8
"IMPC_CSD_028_001",1
"IMPC_CSD_028_001",7
"IMPC_CSD_036_001",3
"IMPC_CSD_036_001",8
"IMPC_CSD_039_001",7
"IMPC_CSD_046_001",1
"IMPC_CSD_046_001",7
"IMPC_CSD_047_001",1
"IMPC_CSD_047_001",7
"IMPC_CSD_056_001",5
"IMPC_CSD_057_001",5
"IMPC_CSD_058_001",5
"IMPC_CSD_058_001",8
"IMPC_CSD_059_001",5
"IMPC_CSD_060_001",5
"IMPC_CSD_061_001",5
"IMPC_CSD_064_001",8
"IMPC_CSD_069_001",8
